date_releve;operateur;categorie;offre;debit_ou_data;appels_inclus;prix_dh_mois;remarques;source;fiabilite
2026-08-16;Maroc Telecom;Box;El Manzil 5G 400 DH;100 Mb/s;;400;extraction generique - verifier et raffiner le parser;https://www.iam.ma/box-el-manzil-5g;officiel_js_generique
2026-08-16;Maroc Telecom;Box;Box 4G+ 199 DH;60 Go;60 min;199;extraction generique - verifier et raffiner le parser;https://www.iam.ma/box-4g;officiel_js_generique
2026-08-16;Maroc Telecom;Box;Box 4G+ 350 DH;90 Go;120 min;350;extraction generique - verifier et raffiner le parser;https://www.iam.ma/box-4g;officiel_js_generique
2026-08-16;Orange;Fibre;Fibre 20 Mega (residentiel);20 Mb/s;;;prix non trouve dans le SVG - a inspecter;https://orange-maroc.net/FibreOrange/fibre-cards/20go.svg;a_completer
2026-08-16;Orange;Fibre;Fibre 50 Mega (residentiel);50 Mb/s;;;prix non trouve dans le SVG - a inspecter;https://orange-maroc.net/FibreOrange/fibre-cards/50go.svg;a_completer
2026-08-16;Orange;Fibre;Fibre 100 Mega (residentiel);100 Mb/s;;;prix non trouve dans le SVG - a inspecter;https://orange-maroc.net/FibreOrange/fibre-cards/100go.svg;a_completer
2026-08-16;Orange;Fibre;Fibre 200 Mega (residentiel);200 Mb/s;;;prix non trouve dans le SVG - a inspecter;https://orange-maroc.net/FibreOrange/fibre-cards/200go.svg;a_completer
2026-08-16;Orange;Fibre;Fibre 500 Mega (residentiel);500 Mb/s;;;prix non trouve dans le SVG - a inspecter;https://orange-maroc.net/FibreOrange/fibre-cards/500go.svg;a_completer
2026-08-16;Orange;Fibre;Fibre 1000 Mega (residentiel);1000 Mb/s;;;prix non trouve dans le SVG - a inspecter;https://orange-maroc.net/FibreOrange/fibre-cards/1000go.svg;a_completer
2026-08-16;Orange;Forfait mobile;Forfait 00 DH;3Go / 2Go;3h / 3H / 1H;00;extraction generique - verifier et raffiner le parser;https://boutique.orange.ma/offres-mobile;officiel_js_generique
2026-08-16;Orange;Forfait mobile;Forfait 00 DH;1Go;1H / 5h / 5H;00;extraction generique - verifier et raffiner le parser;https://boutique.orange.ma/offres-mobile;officiel_js_generique
2026-08-16;Orange;Forfait mobile;Forfait 00 DH;1Go / 11Go;1H;00;extraction generique - verifier et raffiner le parser;https://boutique.orange.ma/offres-mobile;officiel_js_generique
2026-08-16;Orange;Forfait mobile;Forfait 00 DH;11Go;1H;00;extraction generique - verifier et raffiner le parser;https://boutique.orange.ma/offres-mobile;officiel_js_generique
2026-08-16;Orange;Box;Dar Box 5G 00 DH;50 Méga;3H;00;extraction generique - verifier et raffiner le parser;https://boutique.orange.ma/offres-dar-box/dar-box-5g;officiel_js_generique
2026-08-16;Orange;Box;Dar Box 5G 00 DH;100 Méga;4H;00;extraction generique - verifier et raffiner le parser;https://boutique.orange.ma/offres-dar-box/dar-box-5g;officiel_js_generique
2026-08-16;Orange;Box;Dar Box 4G+ 00 DH;;2H;00;extraction generique - verifier et raffiner le parser;https://boutique.orange.ma/dar-box;officiel_js_generique
2026-08-16;Orange;Forfait mobile;Yoxo 50 DH;;1H;50;extraction generique - verifier et raffiner le parser;https://www.yoxo.ma/;officiel_js_generique
2026-08-16;Orange;Forfait mobile;Yoxo 100 DH;;5H;100;extraction generique - verifier et raffiner le parser;https://www.yoxo.ma/;officiel_js_generique
2026-08-16;inwi;Fibre;Fibre optique 20 Mega;20 Mb/s;;249;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
2026-08-16;inwi;Fibre;Fibre optique 50 Mega;50 Mb/s;;299;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
2026-08-16;inwi;Fibre;Fibre optique 100 Mega;100 Mb/s;;349;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
2026-08-16;inwi;Fibre;Fibre optique 200 Mega;200 Mb/s;;449;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
2026-08-16;inwi;Fibre;Fibre optique 500 Mega;500 Mb/s;;749;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
2026-08-16;inwi;Fibre;Fibre optique 20 Mega;20 Mb/s;;249;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
2026-08-16;inwi;Fibre;Fibre optique 50 Mega;50 Mb/s;;299;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
2026-08-16;inwi;Fibre;Fibre optique 100 Mega;100 Mb/s;;349;;https://inwi.ma/fr/particuliers/offres-internet/wifi-a-la-maison/fibre-optique;officiel_site
