date_releve;operateur;categorie;offre;debit_ou_data;appels_inclus;prix_dh_mois;remarques;source;fiabilite
2023-05-08;Orange;Forfait mobile;Yoxo 49 DH;;;49;prix du slug - detail data a completer - retrospectif web.archive.org;https://web.archive.org/web/20230508001257id_/https://www.yoxo.ma/;officiel_archive
2023-05-08;Orange;Forfait mobile;Yoxo 199 DH;;;199;prix du slug - detail data a completer - retrospectif web.archive.org;https://web.archive.org/web/20230508001257id_/https://www.yoxo.ma/;officiel_archive
2023-05-08;Orange;Forfait mobile;Yoxo 99 DH;;;99;prix du slug - detail data a completer - retrospectif web.archive.org;https://web.archive.org/web/20230508001257id_/https://www.yoxo.ma/;officiel_archive
2023-05-01;Orange;Forfait mobile;Forfait YO 2Go + 1H 49 Dh;2Go;1H + illimité vers Orange;49;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 11Go+1H 49 Dh;11Go;1H;49;WhatsApp illimité - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 3h + 3Go 49 Dh;3Go;3H + illimité vers Orange;49;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 20Go + 1H 99 Dh;20Go;1H;99;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 11Go + 11H 99 Dh;11Go;11H + illimité vers Orange;99;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 30Go + 3H 149 Dh;30Go;3H;149;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 17Go + 17H 149 Dh;17Go;17H;149;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 40Go + 5H 199 Dh;40Go;5H;199;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 25Go + illimité 199 Dh;25Go;Illimité voix national;199;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
